posx	posy	h	type
-0.470000	-0.140000	0.010000	0
-0.455263	-0.140000	0.010000	0
-0.440526	-0.140000	0.010000	0
-0.425789	-0.140000	0.010000	0
-0.411053	-0.140000	0.010000	0
-0.396316	-0.140000	0.010000	0
-0.381579	-0.140000	0.010000	0
-0.366842	-0.140000	0.010000	0
-0.352105	-0.140000	0.010000	0
-0.337368	-0.140000	0.010000	0
-0.322632	-0.140000	0.010000	0
-0.307895	-0.140000	0.010000	0
-0.293158	-0.140000	0.010000	0
-0.278421	-0.140000	0.010000	0
-0.263684	-0.140000	0.010000	0
-0.248947	-0.140000	0.010000	0
-0.234211	-0.140000	0.010000	0
-0.219474	-0.140000	0.010000	0
-0.204737	-0.140000	0.010000	0
-0.190000	-0.140000	0.010000	0
-0.470000	-0.125263	0.010000	0
-0.455263	-0.125263	0.010000	0
-0.440526	-0.125263	0.010000	0
-0.425789	-0.125263	0.010000	0
-0.411053	-0.125263	0.010000	0
-0.396316	-0.125263	0.010000	0
-0.381579	-0.125263	0.010000	0
-0.366842	-0.125263	0.010000	0
-0.352105	-0.125263	0.010000	0
-0.337368	-0.125263	0.010000	0
-0.322632	-0.125263	0.010000	0
-0.307895	-0.125263	0.010000	0
-0.293158	-0.125263	0.010000	0
-0.278421	-0.125263	0.010000	0
-0.263684	-0.125263	0.010000	0
-0.248947	-0.125263	0.010000	0
-0.234211	-0.125263	0.010000	0
-0.219474	-0.125263	0.010000	0
-0.204737	-0.125263	0.010000	0
-0.190000	-0.125263	0.010000	0
-0.470000	-0.110526	0.010000	0
-0.455263	-0.110526	0.010000	0
-0.440526	-0.110526	0.010000	0
-0.425789	-0.110526	0.010000	0
-0.411053	-0.110526	0.010000	0
-0.396316	-0.110526	0.010000	0
-0.381579	-0.110526	0.010000	0
-0.366842	-0.110526	0.010000	0
-0.352105	-0.110526	0.010000	0
-0.337368	-0.110526	0.010000	0
-0.322632	-0.110526	0.010000	0
-0.307895	-0.110526	0.010000	0
